ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency_bits,efficiency_frames,throughput
222,KB2,ARQ,Default,200,0.0005,1,25,0,0.2016,0.888889,1,7936.51
223,KB2,ARQ,Default,200,0.0005,1,25,1,0.2036,0.854701,0.961538,7858.55
224,KB2,ARQ,Default,200,0.0005,1,25,1,0.2634,0.854701,0.961538,6074.41
225,KB2,ARQ,Default,200,0.0005,1,25,1,0.2055,0.854701,0.961538,7785.89
226,KB2,ARQ,Default,200,0.0005,1,25,0,0.2002,0.888889,1,7992.01
227,KB2,ARQ,Default,200,0.0005,1,25,0,0.2037,0.888889,1,7854.69
228,KB2,ARQ,Default,200,0.0005,1,25,0,0.2042,0.888889,1,7835.46
229,KB2,ARQ,Default,200,0.0005,1,25,1,0.2059,0.854701,0.961538,7770.76
230,KB2,ARQ,Default,200,0.0005,1,25,1,0.2046,0.854701,0.961538,7820.14
231,KB2,ARQ,Default,200,0.0005,1,25,1,0.2031,0.854701,0.961538,7877.89
232,KB2,ARQ,Default,200,0.0005,1,25,1,0.2033,0.854701,0.961538,7870.14
233,KB2,ARQ,Default,200,0.0005,1,25,1,0.2055,0.854701,0.961538,7785.89
234,KB2,ARQ,Default,200,0.0005,1,25,0,0.224,0.888889,1,7142.86
235,KB2,ARQ,Default,200,0.0005,1,25,1,0.2072,0.854701,0.961538,7722.01
236,KB2,ARQ,Default,200,0.0005,1,25,1,0.2063,0.854701,0.961538,7755.7
237,KB2,ARQ,Default,200,0.0005,1,25,3,0.214,0.793651,0.892857,7476.64
238,KB2,ARQ,Default,200,0.0005,1,25,0,0.1991,0.888889,1,8036.16
239,KB2,ARQ,Default,200,0.0005,1,25,1,0.2048,0.854701,0.961538,7812.5
240,KB2,ARQ,Default,200,0.0005,1,25,0,0.2013,0.888889,1,7948.34
241,KB2,ARQ,Default,200,0.0005,1,25,0,0.2047,0.888889,1,7816.32
242,KB2,ARQ,Default,200,0.0005,1,25,0,0.2013,0.888889,1,7948.34
243,KB2,ARQ,Default,200,0.0005,1,25,1,0.2072,0.854701,0.961538,7722.01
244,KB2,ARQ,Default,200,0.0005,1,25,1,0.2049,0.854701,0.961538,7808.69
245,KB2,ARQ,Default,200,0.0005,1,25,0,0.2096,0.888889,1,7633.59
246,KB2,ARQ,Default,200,0.0005,1,25,0,0.2023,0.888889,1,7909.05
247,KB2,ARQ,Default,200,0.0005,1,25,1,0.2034,0.854701,0.961538,7866.27
248,KB2,ARQ,Default,200,0.0005,1,25,0,0.2005,0.888889,1,7980.05
249,KB2,ARQ,Default,200,0.0005,1,25,1,0.2025,0.854701,0.961538,7901.23
250,KB2,ARQ,Default,200,0.0005,1,25,0,0.1986,0.888889,1,8056.39
251,KB2,ARQ,Default,200,0.0005,1,25,1,0.204,0.854701,0.961538,7843.14
252,KB2,ARQ,Default,200,0.0005,1,25,2,0.2151,0.823045,0.925926,7438.4
253,KB2,ARQ,Default,200,0.0005,1,25,0,0.2021,0.888889,1,7916.87
254,KB2,ARQ,Default,200,0.0005,1,25,1,0.2047,0.854701,0.961538,7816.32
255,KB2,ARQ,Default,200,0.0005,1,25,0,0.2002,0.888889,1,7992.01
256,KB2,ARQ,Default,200,0.0005,1,25,0,0.2007,0.888889,1,7972.1
257,KB2,ARQ,Default,200,0.0005,1,25,1,0.2053,0.854701,0.961538,7793.47
258,KB2,ARQ,Default,200,0.0005,1,25,1,0.2035,0.854701,0.961538,7862.41
259,KB2,ARQ,Default,200,0.0005,1,25,2,0.2141,0.823045,0.925926,7473.14
260,KB2,ARQ,Default,200,0.0005,1,25,1,0.2033,0.854701,0.961538,7870.14
261,KB2,ARQ,Default,200,0.0005,1,25,0,0.2,0.888889,1,8000
262,KB2,ARQ,Default,200,0.0005,1,25,1,0.205,0.854701,0.961538,7804.88
263,KB2,ARQ,Default,200,0.0005,1,25,3,0.226,0.793651,0.892857,7079.65
264,KB2,ARQ,Default,200,0.0005,1,25,1,0.2052,0.854701,0.961538,7797.27
265,KB2,ARQ,Default,200,0.0005,1,25,2,0.2115,0.823045,0.925926,7565.01
266,KB2,ARQ,Default,200,0.0005,1,25,2,0.2132,0.823045,0.925926,7504.69
267,KB2,ARQ,Default,200,0.0005,1,25,2,0.2122,0.823045,0.925926,7540.06
268,KB2,ARQ,Default,200,0.0005,1,25,2,0.2107,0.823045,0.925926,7593.74
269,KB2,ARQ,Default,200,0.0005,1,25,2,0.2121,0.823045,0.925926,7543.61
270,KB2,ARQ,Default,200,0.0005,1,25,1,0.2071,0.854701,0.961538,7725.74
271,KB2,ARQ,Default,200,0.0005,1,25,0,0.1992,0.888889,1,8032.13
272,KB2,ARQ,Default,200,0.0005,1,25,1,0.2115,0.854701,0.961538,7565.01
273,KB2,ARQ,Default,200,0.0005,1,25,1,0.2057,0.854701,0.961538,7778.32
274,KB2,ARQ,Default,200,0.0005,1,25,0,0.2008,0.888889,1,7968.13
275,KB2,ARQ,Default,200,0.0005,1,25,0,0.1999,0.888889,1,8004
276,KB2,ARQ,Default,200,0.0005,1,25,1,0.2033,0.854701,0.961538,7870.14
277,KB2,ARQ,Default,200,0.0005,1,25,1,0.2074,0.854701,0.961538,7714.56
278,KB2,ARQ,Default,200,0.0005,1,25,0,0.2045,0.888889,1,7823.96
279,KB2,ARQ,Default,200,0.0005,1,25,1,0.2062,0.854701,0.961538,7759.46
280,KB2,ARQ,Default,200,0.0005,1,25,0,0.1998,0.888889,1,8008.01
281,KB2,ARQ,Default,200,0.0005,1,25,0,0.2032,0.888889,1,7874.02
282,KB2,ARQ,Default,200,0.0005,1,25,0,0.2017,0.888889,1,7932.57
