ID,scheme,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
8504,ARQ,0.03,1,50,104,0.5368,0.25974,2980.63
8505,ARQ,0.03,1,50,86,0.4883,0.294118,3276.67
8506,ARQ,0.03,1,50,152,0.7244,0.19802,2208.72
8507,ARQ,0.03,1,50,127,0.6554,0.225989,2441.26
8508,ARQ,0.03,1,50,103,0.5786,0.261438,2765.3
8509,ARQ,0.03,1,50,131,0.681,0.220994,2349.49
8510,ARQ,0.03,1,50,154,0.7354,0.196078,2175.69
8511,ARQ,0.03,1,50,117,0.666,0.239521,2402.4
8512,ARQ,0.03,0,50,149,0.6733,0.201005,2376.36
8513,ARQ,0.03,1,50,129,0.6078,0.223464,2632.44
8514,ARQ,0.03,1,50,115,0.5836,0.242424,2741.6
8515,ARQ,0.03,1,50,112,0.5622,0.246914,2845.96
8516,ARQ,0.03,1,50,129,0.6088,0.223464,2628.12
8517,ARQ,0.03,1,50,109,0.5617,0.251572,2848.5
8518,ARQ,0.03,0,50,157,0.6925,0.193237,2310.47
8519,ARQ,0.03,0,50,124,0.5867,0.229885,2727.12
8520,ARQ,0.03,1,50,105,0.5418,0.258065,2953.12
8521,ARQ,0.03,1,50,117,0.5745,0.239521,2785.03
8522,ARQ,0.03,0,50,140,0.6325,0.210526,2529.64
8523,ARQ,0.03,0,50,94,0.5189,0.277778,3083.45
8524,ARQ,0.03,1,50,101,0.5522,0.264901,2897.5
8525,ARQ,0.03,1,50,82,0.4801,0.30303,3332.64
8526,ARQ,0.03,1,50,140,0.6361,0.210526,2515.33
8527,ARQ,0.03,1,50,143,0.6443,0.207254,2483.32
8528,ARQ,0.03,0,50,143,0.6484,0.207254,2467.61
8529,ARQ,0.03,1,50,107,0.5701,0.254777,2806.53
8530,ARQ,0.03,1,50,129,0.6271,0.223464,2551.43
8531,ARQ,0.03,1,50,124,0.6163,0.229885,2596.14
8532,ARQ,0.03,1,50,83,0.5037,0.300752,3176.49
8533,ARQ,0.03,1,50,121,0.6114,0.233918,2616.94
8534,ARQ,0.03,1,50,106,0.5475,0.25641,2922.37
8535,ARQ,0.03,1,50,111,0.5585,0.248447,2864.82
8536,ARQ,0.03,1,50,121,0.5879,0.233918,2721.55
8537,ARQ,0.03,1,50,99,0.5349,0.268456,2991.21
8538,ARQ,0.03,0,50,133,0.6173,0.218579,2591.93
